id,features
273,"[-0.023450331762433052, -0.33147430419921875, 1.0518497228622437, -0.8940662741661072, 0.16519495844841003, 0.2062995284795761, 0.3978009819984436, -1.0577789545059204, -0.18679465353488922, -0.3127291202545166, 0.37694424390792847, 0.4871205687522888, 0.03332873061299324, 0.19569753110408783, 0.3528623580932617, -0.14222152531147003, -0.33735212683677673, -0.15817683935165405, -0.11911534518003464, -0.3229314386844635, 0.25592732429504395, 0.38355255126953125, 0.32310500741004944, -0.543440043926239, 0.6580229997634888]"
283,"[-0.12971043586730957, 0.12466532737016678, 0.680639386177063, -0.6190794110298157, 0.03918183967471123, 0.1963091343641281, 0.6642088890075684, -0.42203158140182495, 0.07824209332466125, 0.13317807018756866, 0.4449879229068756, 0.28647369146347046, 0.3060033619403839, -0.5988823771476746, -0.2814195454120636, 0.7738690972328186, -0.09820732474327087, -0.05402347818017006, 0.3442079424858093, 0.020412327721714973, -0.3817056119441986, 0.3908423185348511, 0.5507127046585083, -0.35656505823135376, 0.9794204235076904]"
293,"[-0.15180647373199463, -0.47480857372283936, 0.3606483042240143, -0.5924780964851379, 0.32630112767219543, 0.25905945897102356, 0.22424912452697754, -0.4849434196949005, -0.2623494863510132, 0.06009902432560921, 0.3343987464904785, 0.2297816425561905, 0.06657063961029053, -0.06867825239896774, -0.40862634778022766, 0.35402411222457886, 0.10441891849040985, 0.04024246707558632, 0.13451732695102692, -0.16587495803833008, 0.4736694395542145, 0.2061360776424408, 0.0494193360209465, -0.3540295362472534, 0.6080024838447571]"
303,"[0.36892902851104736, -0.15050019323825836, 1.0079538822174072, -0.4979840815067291, -0.4997657835483551, 0.8087624907493591, -0.14324434101581573, -0.45854610204696655, -0.3857322037220001, -0.11616786569356918, 0.46675777435302734, -0.08139727264642715, -0.09988238662481308, 0.7255500555038452, -0.022433126345276833, 0.3723704218864441, 0.05235466733574867, 0.49667298793792725, 0.05599585548043251, -0.15994010865688324, 0.29801326990127563, 0.777651846408844, 0.13562579452991486, -0.5517297387123108, 0.7040561437606812]"
313,"[-0.1789097636938095, -0.48656538128852844, 0.7012576460838318, -0.055428534746170044, -0.3836820423603058, 0.977989912033081, 0.3824097812175751, 0.20943820476531982, -0.3356632888317108, 0.06684410572052002, 0.3622680604457855, 0.04596550390124321, 0.43237027525901794, 0.5907176733016968, 0.05997725948691368, 0.5266411304473877, -0.2033538818359375, -0.5640411972999573, 0.47016942501068115, 0.027646547183394432, 0.6995147466659546, 0.5447261929512024, -0.14234189689159393, -0.905340313911438, 0.5707648992538452]"
323,"[0.04281647130846977, -0.539588987827301, 0.48035097122192383, -0.7196382284164429, -0.22925801575183868, -0.0011106168385595083, 0.47702619433403015, -0.4460410475730896, -0.4418502449989319, -0.12054337561130524, 0.5177101492881775, 0.0815792828798294, 0.11699078232049942, -0.12148768454790115, -0.3191355764865875, -0.14045950770378113, -0.20770400762557983, -0.1098390519618988, -0.10327184945344925, -0.0517488494515419, -0.181561678647995, -0.022517742589116096, 0.12014121562242508, -0.7147334218025208, 0.6552718877792358]"
333,"[-0.423843115568161, -0.824521005153656, 0.4589599668979645, -1.0070208311080933, -0.3611760437488556, 0.11067452281713486, 0.4776121973991394, -0.060901712626218796, -0.2633001208305359, 0.3064195513725281, -0.2028876096010208, -0.09129226207733154, -0.14301879703998566, 0.2063993364572525, -0.7957097887992859, -0.09248815476894379, 0.13173656165599823, -0.08998420834541321, -0.15763631463050842, -0.17317207157611847, 0.06365600228309631, 0.3688805103302002, -0.4503432810306549, -0.3439141511917114, 0.3571295738220215]"
343,"[-0.21063266694545746, -0.243398979306221, 0.6013161540031433, -0.5294537544250488, -0.09918387979269028, 0.4191210865974426, 0.6084789633750916, -0.525584876537323, -0.4177437424659729, 0.31334441900253296, 0.4145101308822632, 0.6420781016349792, 0.17336887121200562, -0.23965027928352356, -0.0374586395919323, 0.5641571283340454, -0.5186914801597595, -0.2319498360157013, 0.1327948272228241, -0.14655444025993347, 0.6475207209587097, 0.12127324193716049, 0.029146622866392136, -0.5416784286499023, 0.6097365021705627]"
353,"[-0.2489902824163437, -0.22189456224441528, 0.6878659129142761, -0.9118195176124573, 0.05657326430082321, 0.41290283203125, 0.5091415643692017, -0.8269745111465454, -0.2933087944984436, 0.006949264090508223, 0.4197620153427124, 0.18008047342300415, -0.12460704147815704, -0.3296475410461426, -0.5400434136390686, -0.10664864629507065, -0.42524805665016174, -0.009446799755096436, 0.10104431211948395, -0.25464490056037903, 0.6611418724060059, 0.17222069203853607, -0.0837811604142189, -0.6272851228713989, 0.6619178056716919]"
363,"[-0.1962154656648636, -0.6678223013877869, 0.1093580350279808, -0.5293664932250977, -0.07552310824394226, 0.05818171426653862, 0.7202838659286499, -0.5158928632736206, -0.5048989057540894, 0.22618085145950317, 0.4576418101787567, 0.13376674056053162, 0.1440754234790802, 0.4241156578063965, 0.020256051793694496, -0.0029493921902030706, -0.1671247035264969, -0.45232051610946655, 0.31185123324394226, 0.26721206307411194, 0.8282495141029358, -0.05091557279229164, 0.20843350887298584, -0.5774883031845093, 0.36412036418914795]"
373,"[-0.45035842061042786, -0.5761643648147583, 0.7566266655921936, -0.5384886860847473, -0.29332464933395386, 0.16771163046360016, 0.6461448073387146, -0.3657746911048889, -1.0009124279022217, -0.11051800847053528, 0.46801844239234924, 0.0029641902074217796, 0.7770445942878723, -0.2960337698459625, -0.20622268319129944, -0.19735002517700195, -0.13033939898014069, -0.6858906745910645, 0.36587217450141907, 0.05526329576969147, -0.2117278277873993, 0.21596883237361908, -0.05869213119149208, -0.5042585730552673, 0.34267696738243103]"
383,"[-0.07871147990226746, -0.5585350394248962, 0.8889478445053101, -0.7717509865760803, 0.3248528242111206, -0.07621749490499496, 0.5060909390449524, -0.5975147485733032, -0.2525027394294739, -0.12690100073814392, -0.13851572573184967, 0.6262826323509216, 0.0557086281478405, -0.0338328592479229, -0.2476767599582672, 0.7444021105766296, -0.14655835926532745, 0.21651285886764526, -0.5228893756866455, 0.17320631444454193, 0.47411736845970154, 0.12883540987968445, -0.24162474274635315, -1.0040624141693115, 0.2884029746055603]"
393,"[-0.2795456647872925, -0.6986786127090454, 1.064016342163086, -1.4943300485610962, 0.38039180636405945, -0.38376152515411377, 0.029696164652705193, -0.2251189649105072, -0.3602672219276428, 0.5786059498786926, 0.12199795246124268, 1.3083581924438477, 0.42151159048080444, -0.043303634971380234, 0.2139177769422531, 0.19680704176425934, 0.30227500200271606, 0.01105420384556055, -0.2124982327222824, 0.31062638759613037, 0.26910683512687683, 1.107197880744934, 0.08255656808614731, 0.23106896877288818, 0.10651277005672455]"
403,"[-0.28626370429992676, -0.593470573425293, 0.5810216665267944, -0.6015772223472595, 0.007712150923907757, 0.20943818986415863, 0.696049690246582, -0.6030580401420593, -0.26484841108322144, 0.28974083065986633, 0.24918930232524872, 0.21697889268398285, 0.05643758177757263, 0.0605078861117363, -0.2828095555305481, 0.19327881932258606, -0.07608917355537415, -0.12065237760543823, 0.6852308511734009, -0.36764946579933167, 0.23878955841064453, 0.16852378845214844, -0.023327091708779335, -0.7803389430046082, 0.48862648010253906]"
413,"[-0.41909754276275635, -0.058256153017282486, 1.1953617334365845, -0.8695471882820129, -0.16486188769340515, 0.16614755988121033, -0.4737047851085663, -0.07516051083803177, -0.9587644934654236, 0.36239317059516907, 1.0883080959320068, -0.16838505864143372, 0.007508077193051577, -0.11371002346277237, -0.032466284930706024, 0.6469263434410095, 0.14114616811275482, -0.20671546459197998, 0.19373612105846405, 0.32284015417099, -0.3386174142360687, 0.4571243226528168, 0.777259886264801, -0.6681023240089417, 1.0963078737258911]"
423,"[-0.23925861716270447, -0.9056249260902405, 0.8979052305221558, -0.3343728482723236, -0.940065324306488, 0.42821019887924194, 0.8079651594161987, -0.32436466217041016, -0.364969938993454, -0.3766772150993347, 0.20532648265361786, 0.22374002635478973, -0.5648927092552185, 0.06703197956085205, -0.555342435836792, -0.2650854289531708, 0.016795415431261063, 0.7285763025283813, 0.4153498113155365, 0.0725439041852951, -0.07605234533548355, 0.19849592447280884, 0.17300444841384888, -0.5201216340065002, 0.5311030149459839]"
433,"[-0.16783300042152405, -0.5068609714508057, 0.5888937711715698, -0.7006624341011047, -0.3883463740348816, 0.4841517210006714, 0.6987863779067993, -0.31991833448410034, 0.07331763952970505, 0.23068684339523315, 0.7798930406570435, 0.2278491109609604, 0.5162379741668701, -0.15494731068611145, -0.6532774567604065, 0.3615313768386841, -0.1886480301618576, 0.3612058162689209, -0.13213025033473969, -0.15301452577114105, 0.7436178922653198, 0.06062320992350578, -0.3423846364021301, -0.002978238509967923, 0.8098292350769043]"
443,"[0.5047141313552856, -0.6494147181510925, 0.47992485761642456, -0.5910933613777161, 0.14774075150489807, 0.06772474199533463, 0.9640517830848694, -0.3786652982234955, -0.4288072884082794, 0.46979987621307373, 0.7031325101852417, 0.12943893671035767, 0.5974637866020203, -0.19539323449134827, -0.1483178585767746, 0.1424991488456726, -0.13124890625476837, 0.21635153889656067, -0.6832982301712036, 0.15322202444076538, 0.09301451593637466, 0.3895459473133087, -0.3422914147377014, -0.46458667516708374, 0.5546200275421143]"
453,"[0.21622976660728455, -0.4659404456615448, 0.5212925672531128, -0.9133133292198181, 0.06362798810005188, 0.32780197262763977, 0.633979320526123, -1.0524293184280396, 0.0034429270308464766, 0.29153019189834595, 0.24243061244487762, 0.7037816047668457, -0.2664605975151062, -0.16532891988754272, 0.29515790939331055, 0.3484575152397156, 0.008250487968325615, -0.026820702478289604, -0.18600571155548096, -0.048216406255960464, 0.45145782828330994, 0.10338430106639862, 0.13401256501674652, -0.5236085057258606, 1.0218557119369507]"
463,"[-0.17784611880779266, -0.5451449155807495, 0.7658354043960571, -0.5614073276519775, 0.008345375768840313, 0.4566193222999573, 0.4508100152015686, -0.33846142888069153, -0.47919273376464844, 0.35327690839767456, 0.6342777013778687, 0.37073004245758057, -0.12802064418792725, 0.07812612503767014, -0.3323855996131897, 0.4341428875923157, 0.36209022998809814, -0.0640011578798294, 0.1506112962961197, -0.11995879560709, -0.2793886065483093, 0.4242611825466156, 0.10974714159965515, -0.3816782534122467, 0.660548210144043]"
473,"[-0.05285119265317917, -0.9336727261543274, 0.5462499260902405, -0.4485122561454773, 0.23216430842876434, -0.09805432707071304, 0.38404932618141174, -0.33487439155578613, -0.3775556683540344, 0.10616307705640793, 0.388654500246048, 0.39603152871131897, 0.17025506496429443, 0.1485392153263092, 0.19497446715831757, 0.21362361311912537, -0.25987768173217773, -0.630664050579071, 0.2656582295894623, 0.40168651938438416, 0.27300792932510376, 0.06293883174657822, 0.06189095973968506, -0.5989916920661926, 0.5390189290046692]"
483,"[0.26125431060791016, -0.6568401455879211, 0.0915820300579071, -0.57558274269104, 0.2195257693529129, 0.00652003288269043, 0.3955886662006378, -0.513325035572052, -0.6654481291770935, -0.10432163625955582, 0.45309191942214966, 0.37309348583221436, 0.18503150343894958, -0.10146568715572357, -0.05253131315112114, 0.31665587425231934, 0.07468709349632263, -0.5710782408714294, -0.15347972512245178, -0.29163506627082825, 0.2162584364414215, 0.5548773407936096, 0.041930876672267914, -0.707085907459259, 0.8297579288482666]"
493,"[-0.09537384659051895, -0.48534002900123596, 0.7678399085998535, -0.6193634271621704, 0.10154989361763, 0.35820597410202026, 0.5450854301452637, -0.30745744705200195, -0.27562955021858215, -0.19401268661022186, -0.1366855353116989, 0.0980917289853096, -0.4906374216079712, -0.11777961999177933, -0.3504974842071533, 0.08380036801099777, 0.04125232249498367, -0.2763429880142212, 0.21018080413341522, -0.28497111797332764, -0.3261699974536896, 0.44790345430374146, 0.25084930658340454, -0.6594653725624084, 0.9501121044158936]"
503,"[-0.06600450724363327, -0.8308400511741638, 0.3419940769672394, -0.6084326505661011, 0.08773132413625717, 0.4309343099594116, 0.6913056373596191, -0.2611806094646454, -0.7678411602973938, 0.18279655277729034, -0.05252818018198013, 0.2403247058391571, 0.19571444392204285, 0.07650646567344666, 0.1330586075782776, -0.3078775405883789, -0.06490494310855865, -0.3334479033946991, 0.3169791102409363, -0.6877763867378235, -0.20725156366825104, -0.014089643023908138, 0.04305820167064667, -0.48103174567222595, 0.6097261905670166]"
513,"[0.2469250112771988, -0.593123733997345, 0.6841935515403748, -0.9637817144393921, -0.10951536148786545, 0.4272061884403229, 0.44605734944343567, -0.5907067060470581, -0.3260480463504791, -0.07866664975881577, 0.47317200899124146, 0.15417596697807312, -0.16952866315841675, 0.032980188727378845, 0.17795148491859436, -0.07967150956392288, -0.16598616540431976, 0.173997163772583, 0.10594479739665985, -0.05418485775589943, 0.012981968000531197, 0.4999242126941681, -0.2988477051258087, -0.34135901927948, 0.5728126764297485]"
523,"[0.006543802097439766, -0.43693605065345764, 0.9206684231758118, -0.6941450238227844, 0.13952337205410004, 0.14136965572834015, 0.5926696062088013, -0.476856529712677, -0.5049877166748047, 0.34739741683006287, 0.678530752658844, 0.3518543839454651, 0.13536705076694489, 0.24748952686786652, -0.07764460891485214, 0.4639398753643036, 0.0674910768866539, -0.17495036125183105, 0.049440011382102966, 0.004604780580848455, 0.3361201584339142, 0.4104807674884796, 0.1628192514181137, -0.8730157613754272, 0.8078755140304565]"
533,"[-0.00318525149486959, -0.442635715007782, 0.5479300618171692, -0.6193972826004028, 0.05703200772404671, 0.46677079796791077, 0.4776039123535156, -0.44033312797546387, -0.09112167358398438, 0.011360609903931618, 0.5770007371902466, 0.2813902199268341, -0.038294434547424316, 0.09262371808290482, -0.5332446098327637, 0.09204647690057755, -0.025455305352807045, -0.3805099129676819, -0.13900941610336304, -0.11463379859924316, 0.8324781656265259, 0.14199736714363098, 0.32715722918510437, -0.4970547556877136, 1.2879321575164795]"
543,"[-0.14985188841819763, -0.5119110345840454, 0.7939435839653015, -0.878307580947876, 0.14114317297935486, -0.3980445861816406, -0.04446226730942726, -0.731279730796814, -0.11585785448551178, 0.3558894395828247, 0.7179461121559143, 0.5984036922454834, -0.13460341095924377, 1.018715739250183, -0.47020095586776733, 0.2799026668071747, 0.22505879402160645, 0.45643600821495056, -0.09812933206558228, -0.4805024266242981, 0.8329935669898987, 0.5779492855072021, 0.3604860305786133, -0.8820473551750183, 0.9018827676773071]"
553,"[0.11495140939950943, -0.8984349966049194, 0.5797876119613647, -0.9023271799087524, 0.0688805803656578, -0.11462526768445969, 0.5759189128875732, -0.39252960681915283, -0.40958699584007263, 0.33007124066352844, 0.3919006884098053, 0.15392614901065826, -0.030382227152585983, -0.04154401645064354, -0.47007977962493896, 0.1822527050971985, 0.028606528416275978, -0.1602826565504074, 0.3470883071422577, -0.014983462169766426, 0.3848270773887634, 0.27265647053718567, -0.10699174553155899, -0.5436111688613892, 0.7731167078018188]"
563,"[-0.07839377224445343, -0.6608242392539978, 0.5077990889549255, -0.29114243388175964, -0.1671806275844574, 0.017839673906564713, 0.5340471863746643, -0.3327662944793701, -0.6983194947242737, 0.3937946856021881, 0.2110561579465866, 0.3420683443546295, 0.32006195187568665, 0.22499457001686096, -0.3966914415359497, -0.058194827288389206, -0.0028968104161322117, 0.17847158014774323, -0.31683433055877686, 0.3867954611778259, 0.11530981212854385, 0.3976641297340393, 0.1650606393814087, -0.40616586804389954, 0.8000938892364502]"
573,"[-0.42053326964378357, -0.07458119094371796, 0.617917001247406, -0.846801221370697, 0.1857692301273346, 0.45901912450790405, 0.615235447883606, -0.3382265865802765, -0.12650364637374878, 0.14892755448818207, 0.20627085864543915, 0.438142329454422, -0.06565390527248383, 0.13508577644824982, -0.21084170043468475, 0.5332096815109253, -0.21486884355545044, -0.28681641817092896, -0.14304155111312866, -0.10730908811092377, 0.3323332369327545, 0.8139549493789673, 0.3467470109462738, -0.6469123959541321, 1.121267318725586]"
583,"[0.1800413578748703, -0.23539331555366516, 0.7052599787712097, -0.8117702603340149, 0.028103800490498543, -0.08096162974834442, 0.690647304058075, -0.3284033536911011, -0.7918882369995117, -0.01921258680522442, 0.1519884616136551, 0.07538089901208878, 0.20923106372356415, 0.5604934096336365, 0.08563791960477829, 0.200215682387352, -0.20159752666950226, 0.08434483408927917, -0.4958527982234955, 0.02252952940762043, 0.24460124969482422, 0.2345103919506073, 0.6061946749687195, -0.2112659066915512, 0.6347880959510803]"
593,"[0.13354706764221191, -0.7780511379241943, 0.8981013298034668, -0.6813564300537109, 0.1753595471382141, 0.474796861410141, 0.4437493681907654, -0.3827279508113861, -0.30052322149276733, -0.13374292850494385, 0.4408850073814392, -0.18613287806510925, -0.10026609152555466, -0.04844352975487709, -0.2076067477464676, -0.017122985795140266, -0.0263641607016325, -0.13719336688518524, 0.3972402811050415, 0.07032188028097153, -0.23551267385482788, 0.14538216590881348, -0.3392350971698761, -0.4900028705596924, 0.1105295792222023]"
603,"[-0.32363447546958923, -1.1070071458816528, 0.32832765579223633, -1.0730915069580078, -0.2439252734184265, 0.8924806714057922, 0.18437588214874268, -0.13703064620494843, -0.5704264044761658, 0.07919074594974518, 0.3829071521759033, -0.08747930079698563, 0.09415580332279205, 0.2567792534828186, -0.03209869563579559, -0.18265892565250397, -0.3661063015460968, -0.1113680824637413, -0.14326652884483337, 0.20565441250801086, 0.3066827058792114, 0.10500996559858322, 0.1655997633934021, -0.3152407109737396, 0.3858814835548401]"
4,"[0.19931545853614807, -0.3642398416996002, -0.31391870975494385, -0.9544776082038879, 0.07249864190816879, 0.37582728266716003, 0.06580281257629395, -0.6964709162712097, -0.37076541781425476, -0.21452699601650238, 0.6426622867584229, 0.3925260007381439, -0.1485796868801117, -0.08910202980041504, -0.48892533779144287, -0.22717885673046112, -0.8338468074798584, 0.15057574212551117, -0.12643945217132568, 0.1695229411125183, -0.45535022020339966, 0.3506857752799988, -0.16281037032604218, -0.4412330090999603, 1.089131474494934]"
14,"[-0.8497839570045471, -0.33949199318885803, 0.9834450483322144, -0.2060760110616684, 0.2769790291786194, 0.42399364709854126, 0.7721750736236572, -0.07458677142858505, -0.5889367461204529, 0.2792328894138336, 0.5024793148040771, 0.356518417596817, 0.2991359233856201, 0.3288516402244568, 0.13171322643756866, -0.13571925461292267, -0.15862955152988434, 0.4354933202266693, 0.2816620171070099, 0.07784970104694366, -0.0661403015255928, 0.3404591381549835, 0.7037642002105713, -0.32430630922317505, 0.652283787727356]"
24,"[0.3043889105319977, -0.38194921612739563, 0.5565661191940308, -0.6702465415000916, 0.08630095422267914, 0.2914336919784546, 0.508962869644165, -0.24382002651691437, -0.42099618911743164, 0.10334528237581253, 0.2862715423107147, 0.20644603669643402, 0.22617794573307037, 0.1444302797317505, -0.11369375884532928, 0.4442979693412781, -0.03521933779120445, -0.05551903322339058, 0.06627649813890457, -0.05828674137592316, 0.09603254497051239, 0.3972261846065521, 0.2201475203037262, -0.7038363814353943, 0.7204194068908691]"
34,"[0.38232988119125366, -0.2053965926170349, 0.8841599225997925, -0.606715738773346, 0.002408337779343128, -0.03610718995332718, 0.4851425588130951, -0.15562845766544342, -0.4032212793827057, 0.01243599969893694, 0.30130326747894287, -0.43147754669189453, -0.13391132652759552, -0.19294817745685577, -0.021260349079966545, 0.05177230015397072, -0.003632637672126293, -0.4748794138431549, -0.21902745962142944, 0.19236977398395538, 1.0179883241653442, 1.0707918405532837, -0.754029393196106, 0.22750189900398254, 1.115683913230896]"
44,"[0.023549944162368774, 0.060499824583530426, 0.9592536687850952, -0.5555126070976257, -0.3561648428440094, 0.4302356243133545, 0.5187780261039734, -0.7160831093788147, -0.1637590229511261, 0.30064570903778076, 0.2683790326118469, 0.39854374527931213, -0.4462341070175171, 0.382259339094162, -0.034158989787101746, -0.01784994639456272, -0.5804864168167114, -0.42164871096611023, 0.5303648114204407, -0.23807501792907715, -0.19751325249671936, 0.4222775399684906, -0.31358447670936584, -0.622615396976471, 0.8334417343139648]"
54,"[0.09379107505083084, -0.587341845035553, 0.5948711037635803, -0.47499048709869385, 0.06803636997938156, 0.10359597206115723, 0.30097582936286926, -0.3901449739933014, -0.31696590781211853, 0.051471177488565445, 0.4687332808971405, 0.2239048033952713, -0.007512778043746948, -0.01364192459732294, -0.11854467540979385, 0.14751631021499634, -0.06181793287396431, 0.046958427876234055, -0.0990724265575409, 0.08507108688354492, 0.17338883876800537, 0.19024735689163208, 0.17633725702762604, -0.4249512553215027, 0.5621554255485535]"
64,"[-0.32260915637016296, -0.5065897703170776, 0.5335485339164734, -0.7322374582290649, 0.10418283194303513, 0.49716681241989136, 0.5714273452758789, -0.499798983335495, -0.5124236941337585, -0.07850461453199387, 0.24869094789028168, 0.32930585741996765, 0.2519327402114868, 0.3507522642612457, 0.018585527315735817, 0.47666651010513306, -0.13516540825366974, -0.06079019978642464, -0.23245765268802643, -0.0800270140171051, -0.0031815713737159967, 0.315621018409729, -0.041115861386060715, -0.568742573261261, 0.7089572548866272]"
74,"[0.03849652782082558, -0.8488343954086304, 0.36439117789268494, -0.9867490530014038, 0.022341545671224594, 0.2595946788787842, 0.6090227365493774, -0.4018358588218689, -0.6218879818916321, -0.17554114758968353, 0.2769445776939392, 0.19715410470962524, 0.3428071141242981, -0.09908328950405121, -0.14216117560863495, -0.005522696767002344, -0.0882359966635704, -0.27955278754234314, 0.1943894624710083, 0.02616126835346222, -0.18876256048679352, 0.042891938239336014, 0.004789775237441063, -0.8279048204421997, 0.5651944279670715]"
84,"[-0.4299856722354889, -0.69678795337677, 0.5611793398857117, -0.7393420934677124, 0.16494125127792358, 0.2783665955066681, 0.6435165405273438, -0.5611034631729126, -0.21179631352424622, 0.12983457744121552, 0.44532376527786255, 0.18980064988136292, 0.3409064710140228, -0.06806506216526031, 0.12152903527021408, 0.05197492614388466, -0.28598809242248535, 0.3319520354270935, 0.12570257484912872, 0.13577330112457275, 0.03940701112151146, 0.26950860023498535, 0.1650770604610443, -0.6676852703094482, 0.5089014768600464]"
94,"[0.5794957876205444, -0.1978929340839386, 1.0030851364135742, -0.5090013742446899, -0.1239713802933693, 0.3141064941883087, 0.16022413969039917, -0.5107724070549011, 0.10630585253238678, 0.0848434790968895, 0.09403826296329498, 0.41066068410873413, -0.17072439193725586, -0.16407981514930725, -0.4845907986164093, 0.2174387127161026, 0.37124574184417725, 0.04056136682629585, 0.07041852921247482, -0.3719814717769623, -0.19413115084171295, 0.3836655020713806, 0.2879425585269928, -0.48253244161605835, 0.6910304427146912]"
104,"[0.4759541153907776, -0.6094058752059937, 0.56145840883255, -0.4254888892173767, 0.3036978244781494, -0.12060674279928207, 0.34905558824539185, -0.7563809156417847, -0.4990200102329254, 0.15146110951900482, 0.39150774478912354, 0.21444937586784363, 0.0375618077814579, 0.05221259221434593, -0.03739584609866142, -0.008381539955735207, -0.16702255606651306, 0.19516697525978088, -0.49918264150619507, 0.19894590973854065, 0.19217929244041443, 0.3349461257457733, 0.012427628971636295, -0.6427415609359741, 0.7984895706176758]"
114,"[0.24171791970729828, -0.3237060606479645, 0.8180599808692932, -0.5998587012290955, 0.41801565885543823, -0.08009155839681625, 0.6196641325950623, 0.27862972021102905, -0.2575610280036926, 0.21065333485603333, 0.4824005365371704, 0.44862276315689087, -0.2349773496389389, -0.052103929221630096, 0.16954627633094788, 0.23074516654014587, -0.20337148010730743, -0.44682902097702026, 0.3906432092189789, 0.033569276332855225, 0.04049556702375412, 0.3689851760864258, 0.06142137944698334, -0.46897855401039124, 0.726991593837738]"
124,"[0.06018812954425812, -0.7391679883003235, 0.2656440734863281, -0.8131116628646851, -0.1534218043088913, 0.09125030040740967, 0.4937119781970978, -0.7449454665184021, -0.7197497487068176, 0.08452773839235306, 0.5092342495918274, 0.07951026409864426, 0.14795054495334625, -0.17893916368484497, -0.0034796216059476137, 0.3588157296180725, -0.502233624458313, -0.0666336938738823, -0.014940513297915459, -0.27232107520103455, 0.013379300013184547, 0.20371809601783752, -0.12725132703781128, -0.31654092669487, 0.93878573179245]"
134,"[-0.12500683963298798, -0.4233241081237793, 1.0287599563598633, -0.5530039668083191, -0.0003725338028743863, 0.2970150411128998, 0.4044758379459381, -0.6622647643089294, -0.4148336946964264, 0.16437338292598724, 0.5161620378494263, -0.10372110456228256, 0.18000026047229767, 0.26193058490753174, -0.02800622582435608, 0.36922499537467957, 0.15724694728851318, 0.1401234120130539, 0.1425330936908722, -0.1531657725572586, 0.0699235051870346, 0.3953419029712677, 0.36362481117248535, -0.6141476631164551, 0.45519524812698364]"
144,"[-0.09680702537298203, -0.4970540404319763, 0.6956879496574402, -0.6414875388145447, 0.13858214020729065, -0.011097061447799206, 0.4959914982318878, -0.33015599846839905, -0.5127894282341003, 0.31163111329078674, 0.4428789019584656, 0.08588770776987076, 0.0852683037519455, 0.2671676576137543, -0.26447799801826477, 0.056865911930799484, 0.09339693933725357, -0.2361784279346466, -0.20950376987457275, -0.05924075469374657, 0.07452396303415298, 0.2186221480369568, 0.004246545024216175, -0.6457525491714478, 0.7871779203414917]"
154,"[0.24525080621242523, -0.7560285329818726, 0.8133639097213745, -0.5363226532936096, -0.07845445722341537, -0.13686610758304596, 0.7238096594810486, 0.16395819187164307, -0.8065688610076904, 0.10687832534313202, -0.04091200232505798, 0.46404609084129333, 0.3746088743209839, 0.28976285457611084, -0.5181410312652588, 0.49085119366645813, -0.21889632940292358, -0.4483617842197418, -0.18277302384376526, 0.16881327331066132, -0.019321251660585403, 1.0026098489761353, 0.3256429433822632, -0.16967159509658813, 0.8950636386871338]"
164,"[-0.07900534570217133, -0.5763696432113647, 0.9935416579246521, -0.6563757658004761, -0.1810838133096695, 0.3232080638408661, 0.4254670739173889, -0.6046720147132874, -0.3190397322177887, -0.39179062843322754, -0.0026900048833340406, 0.3516894280910492, -0.028770625591278076, 0.06488832831382751, -0.5455244183540344, 0.0695689469575882, -0.0638265460729599, 0.5180054306983948, 0.22492311894893646, -0.1898188441991806, 0.064014732837677, 0.4822753667831421, 0.3628622889518738, -0.8884167075157166, 0.5826288461685181]"
174,"[-0.13965708017349243, -0.6514509320259094, 1.2513527870178223, -0.0065560066141188145, -0.018727196380496025, 0.31994006037712097, 0.4680371880531311, -0.21390558779239655, -0.44671133160591125, 0.2719108462333679, 0.5927684903144836, 0.2739062011241913, -0.06721719354391098, 0.24066631495952606, -0.5280256271362305, 0.2857365310192108, -0.1588197648525238, 0.617331326007843, -0.19642090797424316, -0.33523669838905334, -0.07637952268123627, 0.1986514776945114, -0.006505677942186594, -0.46194690465927124, 0.8436883687973022]"
184,"[-0.19310393929481506, -0.5776024460792542, 0.43551596999168396, -0.8906503319740295, 0.09353538602590561, 0.5029478073120117, 0.737290620803833, -0.06344226002693176, -0.5560479164123535, -0.17597630620002747, 0.2739230692386627, 0.3289046883583069, 0.299730122089386, 0.009630878455936909, -0.1806740015745163, 0.40325045585632324, 0.0065101077780127525, -0.17215192317962646, 0.19208990037441254, 0.15455898642539978, 0.5773066878318787, 0.5544202923774719, 0.05498673394322395, -0.4616144597530365, 0.5846315622329712]"
194,"[-0.13700944185256958, -0.351085364818573, 0.7629083395004272, -0.8475990891456604, 0.10218202322721481, 0.45157748460769653, 0.3966566324234009, -0.43793439865112305, -0.24912813305854797, 0.1594374030828476, 0.6571175456047058, 0.28426095843315125, 0.22837311029434204, -0.18036766350269318, 0.05107126384973526, 0.14494584500789642, 0.09321165829896927, 0.11432509124279022, 0.30349200963974, 0.09148921817541122, 0.04225832223892212, 0.35576266050338745, -0.15170937776565552, -0.3805745542049408, 0.7778856754302979]"
204,"[-0.33100923895835876, -0.751323401927948, 0.47310778498649597, -0.5953883528709412, 0.1927350014448166, 0.2675439715385437, 0.739266574382782, -0.4669139087200165, -0.7496365904808044, 0.4039705693721771, 0.5276467204093933, 0.113019660115242, -0.009604601189494133, 0.42799463868141174, -0.1253582239151001, 0.27597227692604065, -0.04710603505373001, -0.008189775981009007, 0.31694963574409485, 0.07829880714416504, 0.21317480504512787, 0.26175457239151, 0.14658936858177185, -0.39940425753593445, 0.7556127905845642]"
